Name	logFC	logCPM	PValue	FDR		Tags	SeqName	Description	Length	#Hits	e-Value	sim mean	#GO	GO IDs	GO Names	Enzyme Codes	Enzyme Names	InterPro IDs	InterPro GO IDs	InterPro GO Names
c245350_g1_i1	-1.483426764	6.954341715	5.38E-08	4.26E-06	[BLASTED]	c245350_g1_i1	SLM40881.1WD40/YVTN repeat-like-containing domain	7000	1	5.2E-93	87.62								
c245529_g2_i1	-1.689608929	6.886728069	9.54E-08	7.15E-06	[BLASTED]	c245529_g2_i1	SLM40400.1Regulator of G protein signalling superfamily	4507	1	2.0E-69	55.11								
c227425_g1_i1	-4.551979785	7.79689044	1.21E-07	8.97E-06	[BLASTED]	c227425_g1_i1	OCK89436.1hypothetical protein K441DRAFT_667531	1080	1	4.4E-76	67.22								
c241556_g1_i1	-2.921088809	7.541001816	1.25E-07	9.12E-06	[BLASTED]	c241556_g1_i1	OXN33311.1hypothetical protein CDV55_07427	4885	1	2.4E-140	73.41								
c245761_g1_i2	-1.900779211	7.234529386	1.35E-07	9.76E-06	[BLASTED, MAPPED, ANNOTATED]	c245761_g1_i2	AEE65375.1reducing type I polyketide synthase	14018	1	0.0	82.72	5	P:GO:0032259; P:GO:0055114; F:GO:0008168; F:GO:0016491; F:GO:0031177	P:methylation; P:oxidation-reduction process; F:methyltransferase activity; F:oxidoreductase activity; F:phosphopantetheine binding					
c245554_g3_i5	-1.570387487	7.572396689	1.45E-07	1.02E-05	[BLASTED, MAPPED, ANNOTATED]	c245554_g3_i5	SLM39996.1acyl-dehydrogenase	9563	1	3.2E-285	94.08	3	P:GO:0055114; F:GO:0016627; F:GO:0050660	P:oxidation-reduction process; F:oxidoreductase activity, acting on the CH-CH group of donors; F:flavin adenine dinucleotide binding					
c240973_g1_i2	-1.519128484	7.093313163	1.43E-07	1.02E-05	[BLASTED, MAPPED, ANNOTATED]	c240973_g1_i2	OQE27782.1hypothetical protein PENSTE_c004G01316	4329	1	5.3E-80	77.41	1	F:GO:0016491	F:oxidoreductase activity					
c364560_g1_i1	-8.749231106	8.552639306	1.76E-07	1.22E-05	[BLASTED]	c364560_g1_i1	KFH74219.1hypothetical protein MVEG_01432	1311	1	6.1E-7	61.84								
c242469_g2_i1	-2.193550128	8.077873807	2.79E-07	1.89E-05	[BLASTED]	c242469_g2_i1	OCK84368.1glycosyltransferase family 8 protein	2365	1	6.7E-140	84.94								
c244760_g1_i1	-4.579914701	5.781070337	3.44E-07	2.25E-05	[BLASTED]	c244760_g1_i1	OGM46081.1hypothetical protein ABOM_005643	1641	1	5.8E-24	43.15								
c241307_g1_i2	-1.450040084	7.631181876	5.31E-07	3.35E-05	[BLASTED, MAPPED, ANNOTATED]	c241307_g1_i2	SLM34040.1ribosomal protein s5 domain 2-like protein	327	1	1.5E-27	80.77	1	C:GO:0005840	C:ribosome					
c230816_g1_i1	-1.912706179	7.353892919	6.24E-07	3.84E-05	[BLASTED]	c230816_g1_i1	SLM33580.1Protein of unknown function DUF3455	705	1	1.1E-48	64.04								
c245335_g1_i1	-1.424492334	8.193016181	1.26E-06	7.27E-05	[BLASTED, MAPPED, ANNOTATED]	c245335_g1_i1	SLM36794.1AMP-dependent synthetase/ligase	1719	1	8.8E-212	79.21	1	F:GO:0016874	F:ligase activity					
c164048_g1_i1	-4.292266062	6.742612945	1.54E-06	8.78E-05	[BLASTED, MAPPED, ANNOTATED]	c164048_g1_i1	OAL49947.1isocitrate lyase and phosphorylmutase	1182	1	1.4E-127	91.95	5	P:GO:0019629; F:GO:0004451; F:GO:0046421; F:GO:0046872; C:GO:0005759	P:propionate catabolic process, 2-methylcitrate cycle; F:isocitrate lyase activity; F:methylisocitrate lyase activity; F:metal ion binding; C:mitochondrial matrix	EC:4.1.3.1; EC:4.1.3.30	Isocitrate lyase; Methylisocitrate lyase			
c239195_g1_i2	-1.481091868	6.222385027	1.55E-06	8.78E-05
c98322_g1_i1	-8.609843822	4.550197328	1.92E-06	0.000107135	[BLASTED, MAPPED, ANNOTATED]	c98322_g1_i1	ORY05779.1ARF/SAR superfamily	609	1	2.2E-74	85.96	2	F:GO:0003924; F:GO:0005525	F:GTPase activity; F:GTP binding	EC:3.6.1.15	Nucleoside-triphosphate phosphatase			
c244920_g1_i9	-3.00808235	8.360017195	1.95E-06	0.000107135	[BLASTED, MAPPED, ANNOTATED]	c244920_g1_i9	SLM35878.1anthranilate synthase component	10660	1	9.4E-225	83.9	1	P:GO:0009058	P:biosynthetic process					
c241389_g1_i1	-1.714241053	6.929635751	1.94E-06	0.000107135	[BLASTED, MAPPED]	c241389_g1_i1	SLM37744.1Phytanoyl-CoA dioxygenase	1047	1	5.0E-93	61.88	2	P:GO:0055114; F:GO:0051213	P:oxidation-reduction process; F:dioxygenase activity					
c365081_g1_i1	-8.566683989	5.00502602	2.02E-06	0.000109964	[BLASTED, MAPPED]	c365081_g1_i1	EEH09705.1conserved hypothetical protein	1200	1	4.2E-59	69.72	3	P:GO:0006468; F:GO:0004672; F:GO:0005524	P:protein phosphorylation; F:protein kinase activity; F:ATP binding					
c175173_g1_i1	-3.737727614	5.593863138	2.05E-06	0.000110665
c201683_g1_i2	-6.531383109	4.298142903	2.34E-06	0.000124546
c238024_g2_i6	-4.467796263	8.01219262	2.82E-06	0.000148726	[BLASTED, MAPPED, ANNOTATED]	c238024_g2_i6	CDZ96911.1-like protein	3854	1	9.6E-186	82.21	3	P:GO:0055114; F:GO:0008270; F:GO:0016491	P:oxidation-reduction process; F:zinc ion binding; F:oxidoreductase activity					
c238458_g2_i1	-9.062071069	3.558083245	3.54E-06	0.000181858	[BLASTED]	c238458_g2_i1	SLM41395.1von Willebrand factor, type A	1850	1	4.5E-36	65.24								
c232172_g2_i1	-9.035360941	4.429708262	3.57E-06	0.000181858	[BLASTED, MAPPED]	c232172_g2_i1	SLM38057.1hypothetical protein LPUS_08153	2929	1	1.6E-51	56.01	2	C:GO:0016020; C:GO:0016021	C:membrane; C:integral component of membrane					
c244372_g1_i4	-1.540591335	7.60743856	4.23E-06	0.000209352	[BLASTED, MAPPED]	c244372_g1_i4	OJJ03956.1hypothetical protein ASPVEDRAFT_136507	8939	1	4.7E-224	64.35	1	F:GO:0003824	F:catalytic activity					
c238325_g1_i2	-1.404481632	7.240490033	4.61E-06	0.000224319	[BLASTED, MAPPED, ANNOTATED]	c238325_g1_i2	OAL50310.1amino acid transporter	3060	1	9.1E-135	79.18	3	P:GO:0055085; F:GO:0022857; C:GO:0016021	P:transmembrane transport; F:transmembrane transporter activity; C:integral component of membrane					
c243302_g1_i1	-1.27166124	7.05577669	5.46E-06	0.000260965	[BLASTED, MAPPED, ANNOTATED]	c243302_g1_i1	SLM41124.1nad-specific glutamate dehydrogenase	8265	1	0.0	90.65	3	P:GO:0019551; P:GO:0055114; F:GO:0004352	P:glutamate catabolic process to 2-oxoglutarate; P:oxidation-reduction process; F:glutamate dehydrogenase (NAD+) activity	EC:1.4.1.3; EC:1.4.1.2	Glutamate dehydrogenase (NAD(P)(+)); Glutamate dehydrogenase			
c222799_g1_i2	-4.291112769	7.307026108	6.00E-06	0.000282152	[BLASTED, MAPPED, ANNOTATED]	c222799_g1_i2	EIE87654.1pyruvate decarboxylase PdcB	1643	1	4.0E-38	71.13	1	F:GO:0043169	F:cation binding					
c308356_g1_i1	-8.696075414	4.216643109	8.43E-06	0.00038958	[BLASTED, MAPPED]	c308356_g1_i1	KZZ95000.1Ribonuclease H-like protein	1746	1	2.2E-32	45.95	2	P:GO:0015074; F:GO:0003676	P:DNA integration; F:nucleic acid binding					
c238562_g1_i3	-3.851073644	4.001289817	9.40E-06	0.000427338	[BLASTED]	c238562_g1_i3	OCL06346.1hypothetical protein AOQ84DRAFT_321579	3031	1	1.4E-42	50.55								
c244149_g1_i1	-1.768402251	9.185002581	1.01E-05	0.000450081	[BLASTED, MAPPED, ANNOTATED]	c244149_g1_i1	OJD12043.1hypothetical protein AJ78_07299	846	1	3.4E-116	81.91	1	C:GO:0016021	C:integral component of membrane					
c201350_g3_i1	-6.745110033	2.422923081	1.24E-05	0.000539489	[BLASTED]	c201350_g3_i1	ORY35429.1hypothetical protein BCR39DRAFT_509616	348	1	8.5E-13	70.13								
c200705_g1_i3	-7.344151134	4.160946083	1.40E-05	0.000608324	[BLASTED]	c200705_g1_i3	OCL14130.1MATE transporter	5006	1	4.5E-131	78.97								
c242219_g1_i1	-4.044478569	5.847772276	1.55E-05	0.000640613	[BLASTED]	c242219_g1_i1	OCL11352.1hypothetical protein AOQ84DRAFT_386904	4144	1	7.6E-68	48.55								
c238817_g2_i1	-1.591602694	11.40967699	1.56E-05	0.000640613	[BLASTED]	c238817_g2_i1	SLM39774.1hypothetical protein LPUS_10387	2843	1	4.3E-38	63.18								
c238193_g1_i1	-1.405300928	6.274980312	1.57E-05	0.000640613	[BLASTED]	c238193_g1_i1	SLM40661.1Protein of unknown function DUF1752, fungi	2170	1	5.5E-126	70.02								
c230831_g1_i1	-3.985883321	2.811043	1.90E-05	0.000733472	[NO-BLAST]	c230831_g1_i1	---NA---	327											
c243375_g2_i1	-3.074961588	5.18923339	1.90E-05	0.000733472	[BLASTED, MAPPED, ANNOTATED]	c243375_g2_i1	OAX80157.1potassium/sodium efflux P-type ATPase, fungal-type	2532	1	2.0E-175	77.67	3	P:GO:0006812; F:GO:0000166; C:GO:0016020	P:cation transport; F:nucleotide binding; C:membrane					
c238219_g1_i2	-3.919290811	7.854339657	2.43E-05	0.000928804	[BLASTED, MAPPED, ANNOTATED]	c238219_g1_i2	SLM36376.1cation transporting atpase	6750	1	0.0	89.76	5	P:GO:0006812; F:GO:0005524; F:GO:0016887; F:GO:0046872; C:GO:0016021	P:cation transport; F:ATP binding; F:ATPase activity; F:metal ion binding; C:integral component of membrane	EC:3.6.1.3; EC:3.6.1.15	Adenosinetriphosphatase; Nucleoside-triphosphate phosphatase			
c245514_g1_i1	-5.004755921	5.059300056	2.47E-05	0.000938123	[BLASTED, MAPPED]	c245514_g1_i1	OTA55688.1hypothetical protein K449DRAFT_400007	1952	1	2.5E-45	63.24	1	F:GO:0016846	F:carbon-sulfur lyase activity					
c243346_g1_i1	-1.840351037	10.36892185	2.72E-05	0.00101321	[BLASTED, MAPPED, ANNOTATED]	c243346_g1_i1	SLM40469.1Nucleotide-diphospho-sugar transferases	6321	1	0.0	88.83	2	F:GO:0016740; C:GO:0016021	F:transferase activity; C:integral component of membrane					
c245536_g1_i5	-1.576028322	6.789027627	2.88E-05	0.001057392	[BLASTED, MAPPED, ANNOTATED]	c245536_g1_i5	SLM36507.1alpha-ketoglutarate-dependent taurine dioxygenase	6825	1	2.2E-173	87.74	3	P:GO:0055114; F:GO:0051213; C:GO:0016021	P:oxidation-reduction process; F:dioxygenase activity; C:integral component of membrane					
c245563_g5_i1	-2.416772565	9.274391519	3.16E-05	0.001153536	[BLASTED, MAPPED, ANNOTATED]	c245563_g5_i1	SLM36890.1Histone-fold	2657	1	7.3E-142	59.3	1	C:GO:0043229	C:intracellular organelle					
c243814_g3_i1	-2.766688446	6.529948901	4.03E-05	0.001450659	[BLASTED]	c243814_g3_i1	OCL01662.1MFS general substrate transporter	2048	1	7.8E-158	77.3								
c245726_g2_i1	-1.337783158	6.824744783	4.19E-05	0.001491605	[BLASTED, MAPPED, ANNOTATED]	c245726_g2_i1	SLM37145.1rhomboid protein 2	3203	1	9.0E-256	83.47	1	C:GO:0042765	C:GPI-anchor transamidase complex					
c237811_g1_i5	-1.664537494	6.984704925	4.51E-05	0.00157215
c243386_g1_i2	-3.776511786	5.029609912	4.68E-05	0.001621674	[BLASTED, MAPPED, ANNOTATED]	c243386_g1_i2	SLM37079.1NOT2/NOT3/NOT5	1629	1	2.9E-228	77.21	1	C:GO:0005622	C:intracellular					
c236832_g1_i1	-1.338852556	6.940957991	4.79E-05	0.001640101	[BLASTED]	c236832_g1_i1	SLM39942.1hypothetical protein LPUS_10610	2684	1	7.9E-42	45.53								
c174309_g1_i1	-3.160550458	6.432168483	5.00E-05	0.001700614	[BLASTED]	c174309_g1_i1	OAX82369.1hypothetical protein ACJ72_03286	1813	1	1.0E-53	76.88								
c242581_g1_i1	-2.938060724	5.57518498	5.03E-05	0.001700614	[BLASTED]	c242581_g1_i1	KXG48431.1Amidase	4455	1	1.7E-219	84.48								
c239218_g4_i1	-3.300533204	5.205416365	6.01E-05	0.001971771	[BLASTED]	c239218_g4_i1	SLM39264.1Micro-fibrillar-associated protein 1, C-terminal	1122	1	5.2E-53	82.28								
c234546_g1_i2	-5.444069739	4.159518305	6.30E-05	0.002037313	[BLASTED, MAPPED, ANNOTATED]	c234546_g1_i2	OOF92989.1hypothetical protein ASPCADRAFT_398661	3933	1	1.2E-128	72.41	1	F:GO:0016787	F:hydrolase activity					
c230831_g2_i1	-3.379037408	4.566570418	6.30E-05	0.002037313	[BLASTED, MAPPED]	c230831_g2_i1	OTA97733.1hypothetical protein M434DRAFT_7678	1180	1	5.2E-22	51.63	2	P:GO:0009405; C:GO:0005576	P:pathogenesis; C:extracellular region					
c202327_g1_i2	-2.956247926	5.600269593	6.32E-05	0.002037313	[BLASTED, MAPPED, ANNOTATED]	c202327_g1_i2	OAL01798.1hypothetical protein IQ06DRAFT_246740	1563	1	2.8E-204	95.08	2	P:GO:0019441; F:GO:0004061	P:tryptophan catabolic process to kynurenine; F:arylformamidase activity	EC:3.5.1.9	Arylformamidase			
c242982_g3_i1	-6.342364975	5.33278532	6.74E-05	0.002161824	[BLASTED, MAPPED]	c242982_g3_i1	KZZ95000.1Ribonuclease H-like protein	2753	1	4.4E-96	47.73	2	P:GO:0015074; F:GO:0003676	P:DNA integration; F:nucleic acid binding					
c245208_g1_i5	-1.506972371	7.581426907	8.60E-05	0.002742427	[BLASTED]	c245208_g1_i5	SLM38634.1SWR1-complex protein 5/Craniofacial development protein	5657	1	1.7E-38	74.83								
c244730_g3_i1	-1.670986376	6.04830566	9.44E-05	0.00297393	[BLASTED, MAPPED, ANNOTATED]	c244730_g3_i1	SLM38820.1ring finger ubiquitin ligase	2669	1	6.3E-183	72.24	1	C:GO:0016020	C:membrane					
c245759_g1_i1	-1.540447165	8.684767942	9.39E-05	0.00297393	[BLASTED, MAPPED]	c245759_g1_i1	SLM36611.1Legume-like lectin	12845	1	4.3E-121	69.45	3	F:GO:0030246; C:GO:0016020; C:GO:0016021	F:carbohydrate binding; C:membrane; C:integral component of membrane					
c242919_g1_i8	-3.516448918	5.027399307	0.000105285	0.003299536	[BLASTED]	c242919_g1_i8	OCK87084.1polyketide synthase	8887	1	0.0	62.31								
c244104_g1_i1	-1.819067078	8.223176636	0.000116398	0.003586984
c245684_g1_i2	-1.14294316	7.013653556	0.00011938	0.003626256	[BLASTED, MAPPED]	c245684_g1_i2	SLM35432.1Uncharacterised conserved protein UCP028846	5708	1	1.9E-130	66.67	5	P:GO:0055114; F:GO:0003824; F:GO:0016491; F:GO:0050660; F:GO:0071949	P:oxidation-reduction process; F:catalytic activity; F:oxidoreductase activity; F:flavin adenine dinucleotide binding; F:FAD binding					
c238629_g1_i1	-1.569908101	8.233383321	0.000123974	0.003697225	[BLASTED]	c238629_g1_i1	SLM39344.1FAS1 domain	2198	1	1.8E-92	70.76								
c239771_g1_i5	-2.710968456	5.083263806	0.000131577	0.003841342	[BLASTED]	c239771_g1_i5	SLM41395.1von Willebrand factor, type A	1975	1	1.1E-72	80.47								
c236071_g1_i2	-1.432623668	7.35584667	0.000131178	0.003841342	[BLASTED, MAPPED, ANNOTATED]	c236071_g1_i2	EQL34026.1succinyl-CoA:3-ketoacid-coenzyme A transferase (ScoT)	2234	1	6.9E-233	91.41	3	P:GO:0046952; F:GO:0008260; C:GO:0005739	P:ketone body catabolic process; F:3-oxoacid CoA-transferase activity; C:mitochondrion	EC:2.8.3.5	3-oxoacid CoA-transferase			
c244811_g1_i2	-2.081026532	7.678135462	0.00014106	0.004054189	[BLASTED, MAPPED, ANNOTATED]	c244811_g1_i2	SLM35978.1family helicase	3363	1	0.0	63.42	1	P:GO:0044237	P:cellular metabolic process					
c244949_g1_i2	-1.225359136	9.793171995	0.000140649	0.004054189	[BLASTED, MAPPED, ANNOTATED]	c244949_g1_i2	SLM37054.1Nucleotide-diphospho-sugar transferases	4828	1	0.0	78.97	2	F:GO:0016740; C:GO:0016021	F:transferase activity; C:integral component of membrane					
c238366_g1_i1	-1.05725323	8.066188169	0.00014106	0.004054189	[BLASTED, MAPPED]	c238366_g1_i1	SLM40114.1Ribosomal protein S5 domain 2-type fold, subgroup	3699	1	3.1E-122	65.12	6	P:GO:0006298; F:GO:0005524; F:GO:0016887; F:GO:0030983; C:GO:0005840; C:GO:0032300	P:mismatch repair; F:ATP binding; F:ATPase activity; F:mismatched DNA binding; C:ribosome; C:mismatch repair complex					
c232477_g1_i1	-3.143683893	8.211391057	0.000155408	0.004420766	[NO-BLAST]	c232477_g1_i1	---NA---	666											
c239604_g1_i3	-1.37474815	5.831085841	0.000160438	0.004533499	[BLASTED, MAPPED]	c239604_g1_i3	KIM95346.1hypothetical protein OIDMADRAFT_59822	1329	1	9.2E-108	64.75	1	P:GO:0006629	P:lipid metabolic process					
c240981_g1_i1	-1.566440656	8.994352933	0.000191567	0.005208938	[BLASTED, MAPPED, ANNOTATED]	c240981_g1_i1	KKZ64447.1hypothetical protein EMCG_09570	5766	1	3.5E-79	74.21	2	P:GO:0055085; C:GO:0016020	P:transmembrane transport; C:membrane					
